Day,Outlook,Temperature,Humidity,Wind,PlayTennis
0058,Sunny,Hot,High,Strong,No
0059,Rain,Mild,High,Weak,Yes
0060,Sunny,Cool,Normal,Weak,Yes
0061,Overcast,Mild,High,Strong,Yes
0062,Rain,Mild,High,Strong,No
0063,Sunny,Hot,High,Strong,No
0064,Rain,Mild,Normal,Weak,Yes
0065,Sunny,Cool,Normal,Weak,Yes
0066,Rain,Mild,Normal,Weak,Yes
0067,Rain,Cool,Normal,Weak,Yes
0068,Sunny,Hot,High,Strong,No
0069,Rain,Mild,High,Weak,Yes
0070,Overcast,Mild,High,Strong,Yes
0071,Overcast,Mild,High,Strong,Yes
0072,Overcast,Cool,Normal,Strong,Yes
0073,Overcast,Mild,High,Strong,Yes
0074,Overcast,Hot,Normal,Weak,Yes
0075,Sunny,Mild,High,Weak,No
0076,Overcast,Hot,High,Weak,Yes
0077,Rain,Mild,High,Strong,No
0078,Sunny,Hot,High,Weak,No
0079,Rain,Mild,High,Weak,Yes
0080,Sunny,Hot,High,Strong,No
0081,Sunny,Mild,High,Weak,No
0082,Rain,Mild,High,Weak,Yes
0083,Sunny,Hot,High,Strong,No
0084,Rain,Mild,High,Strong,No
0085,Rain,Cool,Normal,Strong,No
0086,Rain,Cool,Normal,Strong,No
0087,Rain,Mild,Normal,Weak,Yes
0088,Rain,Mild,High,Weak,Yes
0089,Rain,Cool,Normal,Strong,No
0090,Overcast,Hot,Normal,Weak,Yes
0091,Sunny,Hot,High,Strong,No
0092,Rain,Mild,Normal,Weak,Yes
0093,Overcast,Mild,High,Strong,Yes
0094,Sunny,Hot,High,Strong,No
0095,Rain,Mild,Normal,Weak,Yes
0096,Rain,Mild,High,Strong,No
0097,Rain,Mild,High,Weak,Yes
0098,Rain,Mild,High,Strong,No
0099,Sunny,Mild,High,Weak,No
0100,Rain,Mild,High,Strong,No
0101,Overcast,Cool,Normal,Strong,Yes
0102,Overcast,Mild,High,Strong,Yes
0103,Sunny,Cool,Normal,Weak,Yes
0104,Rain,Mild,High,Strong,No
0105,Sunny,Mild,High,Weak,No
0106,Rain,Cool,Normal,Weak,Yes
0107,Overcast,Hot,Normal,Weak,Yes
0108,Sunny,Hot,High,Strong,No
0109,Rain,Cool,Normal,Weak,Yes
0110,Sunny,Mild,High,Weak,No
0111,Rain,Mild,Normal,Weak,Yes
0112,Sunny,Cool,Normal,Weak,Yes
0113,Overcast,Mild,High,Strong,Yes
0114,Overcast,Mild,High,Strong,Yes
0115,Overcast,Mild,High,Strong,Yes
0116,Overcast,Hot,Normal,Weak,Yes
0117,Sunny,Cool,Normal,Weak,Yes
0118,Overcast,Hot,Normal,Weak,Yes
0119,Overcast,Hot,Normal,Weak,Yes
0120,Sunny,Hot,High,Weak,No
0121,Sunny,Cool,Normal,Weak,Yes
0122,Overcast,Cool,Normal,Strong,Yes
0123,Sunny,Cool,Normal,Weak,Yes
0124,Sunny,Mild,High,Weak,No
0125,Sunny,Hot,High,Weak,No
0126,Overcast,Mild,High,Strong,Yes
0127,Sunny,Mild,High,Weak,No
0128,Sunny,Mild,High,Weak,No
0129,Sunny,Mild,Normal,Strong,Yes
0130,Overcast,Hot,High,Weak,Yes
0131,Sunny,Hot,High,Weak,No
0132,Sunny,Mild,High,Weak,No
0133,Overcast,Hot,High,Weak,Yes
0134,Overcast,Hot,High,Weak,Yes
0135,Sunny,Hot,High,Weak,No
0136,Sunny,Mild,Normal,Strong,Yes
0137,Rain,Cool,Normal,Weak,Yes
0138,Rain,Mild,Normal,Weak,Yes
0139,Overcast,Cool,Normal,Strong,Yes
0140,Rain,Mild,Normal,Weak,Yes
0141,Sunny,Cool,Normal,Weak,Yes
0142,Overcast,Mild,High,Strong,Yes
0143,Overcast,Cool,Normal,Strong,Yes
0144,Sunny,Cool,Normal,Weak,Yes
0145,Sunny,Mild,High,Weak,No
0146,Overcast,Mild,High,Strong,Yes
0147,Sunny,Hot,High,Strong,No
0148,Sunny,Hot,High,Weak,No
0149,Overcast,Cool,Normal,Strong,Yes
0150,Overcast,Cool,Normal,Strong,Yes
0151,Rain,Mild,High,Strong,No
0152,Sunny,Mild,High,Weak,No
0153,Rain,Cool,Normal,Weak,Yes
0154,Overcast,Hot,High,Weak,Yes
0155,Overcast,Mild,High,Strong,Yes
0156,Sunny,Mild,High,Weak,No
0157,Rain,Cool,Normal,Strong,No
0158,Sunny,Mild,Normal,Strong,Yes
0159,Overcast,Hot,High,Weak,Yes
0160,Sunny,Hot,High,Weak,No
0161,Overcast,Hot,High,Weak,Yes
0162,Rain,Cool,Normal,Weak,Yes
0163,Rain,Mild,High,Strong,No
0164,Overcast,Hot,High,Weak,Yes
0165,Sunny,Hot,High,Weak,No
0166,Rain,Cool,Normal,Weak,Yes
0167,Rain,Mild,Normal,Weak,Yes
0168,Overcast,Cool,Normal,Strong,Yes
0169,Rain,Mild,High,Strong,No
0170,Overcast,Cool,Normal,Strong,Yes
0171,Sunny,Mild,Normal,Strong,Yes
0172,Sunny,Cool,Normal,Weak,Yes
0173,Rain,Mild,Normal,Weak,Yes
0174,Rain,Mild,Normal,Weak,Yes
0175,Overcast,Mild,High,Strong,Yes
0176,Overcast,Hot,Normal,Weak,Yes
0177,Overcast,Hot,High,Weak,Yes
0178,Overcast,Cool,Normal,Strong,Yes
0179,Sunny,Hot,High,Weak,No
0180,Rain,Mild,High,Weak,Yes
0181,Overcast,Hot,Normal,Weak,Yes
0182,Rain,Mild,High,Weak,Yes
0183,Rain,Mild,High,Strong,No
0184,Rain,Cool,Normal,Weak,Yes
0185,Overcast,Cool,Normal,Strong,Yes
0186,Overcast,Cool,Normal,Strong,Yes
0187,Overcast,Hot,Normal,Weak,Yes
0188,Sunny,Mild,Normal,Strong,Yes
0189,Overcast,Hot,Normal,Weak,Yes
0190,Rain,Mild,High,Weak,Yes
0191,Overcast,Hot,Normal,Weak,Yes
0192,Overcast,Cool,Normal,Strong,Yes
0193,Sunny,Mild,Normal,Strong,Yes
0194,Overcast,Hot,High,Weak,Yes
0195,Rain,Cool,Normal,Strong,No
0196,Overcast,Mild,High,Strong,Yes
0197,Sunny,Hot,High,Strong,No
0198,Rain,Mild,Normal,Weak,Yes
0199,Overcast,Hot,Normal,Weak,Yes
0200,Rain,Mild,High,Strong,No
0201,Sunny,Cool,Normal,Weak,Yes
0202,Rain,Cool,Normal,Weak,Yes
0203,Rain,Cool,Normal,Strong,No
0204,Overcast,Mild,High,Strong,Yes
0205,Overcast,Mild,High,Strong,Yes
0206,Overcast,Mild,High,Strong,Yes
0207,Overcast,Mild,High,Strong,Yes
0208,Rain,Mild,High,Weak,Yes
0209,Rain,Mild,High,Strong,No
0210,Rain,Mild,High,Strong,No
0211,Sunny,Mild,Normal,Strong,Yes
0212,Rain,Mild,Normal,Weak,Yes
0213,Overcast,Cool,Normal,Strong,Yes
0214,Overcast,Mild,High,Strong,Yes
0215,Sunny,Cool,Normal,Weak,Yes
0216,Overcast,Cool,Normal,Strong,Yes
0217,Rain,Mild,High,Strong,No
0218,Sunny,Hot,High,Weak,No
0219,Sunny,Hot,High,Weak,No
0220,Sunny,Cool,Normal,Weak,Yes
0221,Sunny,Mild,Normal,Strong,Yes
0222,Rain,Mild,High,Strong,No
0223,Sunny,Cool,Normal,Weak,Yes
0224,Rain,Mild,High,Weak,Yes
0225,Overcast,Hot,Normal,Weak,Yes
0226,Sunny,Cool,Normal,Weak,Yes
0227,Overcast,Hot,High,Weak,Yes
0228,Overcast,Cool,Normal,Strong,Yes
0229,Rain,Cool,Normal,Strong,No
0230,Sunny,Mild,High,Weak,No
0231,Sunny,Mild,Normal,Strong,Yes
0232,Sunny,Cool,Normal,Weak,Yes
0233,Rain,Mild,High,Strong,No
0234,Rain,Cool,Normal,Weak,Yes
0235,Sunny,Hot,High,Weak,No
0236,Overcast,Hot,High,Weak,Yes
0237,Rain,Mild,Normal,Weak,Yes
0238,Overcast,Mild,High,Strong,Yes
0239,Sunny,Mild,High,Weak,No
0240,Sunny,Mild,Normal,Strong,Yes
0241,Rain,Cool,Normal,Strong,No
0242,Sunny,Mild,High,Weak,No
0243,Sunny,Cool,Normal,Weak,Yes
0244,Rain,Mild,High,Weak,Yes
0245,Sunny,Hot,High,Weak,No
0246,Rain,Mild,High,Strong,No
0247,Sunny,Hot,High,Weak,No
0248,Rain,Mild,Normal,Weak,Yes
0249,Rain,Mild,High,Weak,Yes
0250,Overcast,Mild,High,Strong,Yes
0251,Rain,Mild,High,Strong,No
0252,Overcast,Cool,Normal,Strong,Yes
0253,Sunny,Hot,High,Strong,No
0254,Overcast,Hot,High,Weak,Yes
0255,Sunny,Hot,High,Weak,No
0256,Rain,Cool,Normal,Weak,Yes
0257,Sunny,Hot,High,Weak,No
0258,Sunny,Mild,High,Weak,No
0259,Sunny,Hot,High,Weak,No
0260,Sunny,Mild,Normal,Strong,Yes
0261,Sunny,Hot,High,Weak,No
0262,Sunny,Hot,High,Strong,No
0263,Sunny,Hot,High,Strong,No
0264,Overcast,Mild,High,Strong,Yes
0265,Rain,Cool,Normal,Strong,No
0266,Overcast,Cool,Normal,Strong,Yes
0267,Rain,Cool,Normal,Weak,Yes
0268,Sunny,Hot,High,Weak,No
0269,Sunny,Hot,High,Weak,No
0270,Overcast,Hot,High,Weak,Yes
0271,Rain,Mild,High,Strong,No
0272,Sunny,Hot,High,Strong,No
0273,Rain,Cool,Normal,Weak,Yes
0274,Overcast,Mild,High,Strong,Yes
0275,Rain,Mild,Normal,Weak,Yes
0276,Rain,Cool,Normal,Strong,No
0277,Overcast,Cool,Normal,Strong,Yes
0278,Rain,Mild,High,Weak,Yes
0279,Overcast,Cool,Normal,Strong,Yes
0280,Sunny,Mild,Normal,Strong,Yes
0281,Sunny,Mild,High,Weak,No
0282,Sunny,Mild,Normal,Strong,Yes
0283,Sunny,Hot,High,Weak,No
0284,Rain,Cool,Normal,Strong,No
0285,Sunny,Mild,High,Weak,No
0286,Rain,Cool,Normal,Weak,Yes
0287,Rain,Mild,High,Weak,Yes
0288,Sunny,Hot,High,Strong,No
0289,Rain,Cool,Normal,Strong,No
0290,Rain,Cool,Normal,Strong,No
0291,Sunny,Mild,Normal,Strong,Yes
0292,Sunny,Hot,High,Weak,No
0293,Sunny,Cool,Normal,Weak,Yes
0294,Overcast,Mild,High,Strong,Yes
0295,Sunny,Mild,Normal,Strong,Yes
0296,Rain,Cool,Normal,Strong,No
0297,Overcast,Hot,Normal,Weak,Yes
0298,Overcast,Hot,High,Weak,Yes
0299,Rain,Mild,High,Weak,Yes
0300,Overcast,Mild,High,Strong,Yes
0301,Sunny,Mild,Normal,Strong,Yes
0302,Rain,Mild,High,Weak,Yes
0303,Overcast,Hot,High,Weak,Yes
0304,Rain,Mild,Normal,Weak,Yes
0305,Overcast,Hot,High,Weak,Yes
0306,Overcast,Hot,High,Weak,Yes
0307,Rain,Mild,High,Weak,Yes
0308,Overcast,Cool,Normal,Strong,Yes
0309,Rain,Mild,High,Weak,Yes
0310,Sunny,Cool,Normal,Weak,Yes
0311,Sunny,Hot,High,Weak,No
0312,Sunny,Mild,High,Weak,No
0313,Overcast,Cool,Normal,Strong,Yes
0314,Sunny,Hot,High,Strong,No
0315,Sunny,Mild,High,Weak,No
0316,Sunny,Hot,High,Weak,No
0317,Sunny,Mild,Normal,Strong,Yes
0318,Overcast,Mild,High,Strong,Yes
0319,Sunny,Cool,Normal,Weak,Yes
0320,Sunny,Cool,Normal,Weak,Yes
0321,Sunny,Hot,High,Strong,No
0322,Overcast,Cool,Normal,Strong,Yes
0323,Rain,Mild,High,Strong,No
0324,Rain,Mild,Normal,Weak,Yes
0325,Overcast,Hot,High,Weak,Yes
0326,Overcast,Cool,Normal,Strong,Yes
0327,Overcast,Mild,High,Strong,Yes
0328,Rain,Mild,Normal,Weak,Yes
0329,Sunny,Cool,Normal,Weak,Yes
0330,Rain,Mild,High,Weak,Yes
0331,Overcast,Mild,High,Strong,Yes
0332,Sunny,Hot,High,Weak,No
0333,Sunny,Hot,High,Strong,No
0334,Sunny,Hot,High,Weak,No
0335,Rain,Mild,High,Strong,No
0336,Overcast,Mild,High,Strong,Yes
0337,Rain,Cool,Normal,Weak,Yes
0338,Rain,Cool,Normal,Weak,Yes
0339,Sunny,Mild,Normal,Strong,Yes
0340,Overcast,Cool,Normal,Strong,Yes
0341,Sunny,Cool,Normal,Weak,Yes
0342,Sunny,Cool,Normal,Weak,Yes
0343,Overcast,Hot,High,Weak,Yes
0344,Overcast,Hot,High,Weak,Yes
0345,Overcast,Hot,High,Weak,Yes
0346,Rain,Mild,High,Weak,Yes
0347,Sunny,Mild,High,Weak,No
0348,Rain,Cool,Normal,Strong,No
0349,Sunny,Mild,High,Weak,No
0350,Sunny,Hot,High,Weak,No
0351,Sunny,Mild,High,Weak,No
0352,Rain,Mild,High,Weak,Yes
0353,Sunny,Mild,Normal,Strong,Yes
0354,Sunny,Hot,High,Weak,No
0355,Sunny,Mild,High,Weak,No
0356,Rain,Mild,High,Weak,Yes
0357,Rain,Cool,Normal,Strong,No
0358,Sunny,Mild,High,Weak,No
0359,Rain,Mild,High,Weak,Yes
0360,Rain,Mild,High,Strong,No
0361,Overcast,Hot,High,Weak,Yes
0362,Rain,Mild,High,Strong,No
0363,Sunny,Cool,Normal,Weak,Yes
0364,Overcast,Hot,High,Weak,Yes
0365,Sunny,Cool,Normal,Weak,Yes
0366,Overcast,Hot,Normal,Weak,Yes
0367,Sunny,Hot,High,Strong,No
0368,Rain,Mild,High,Strong,No
0369,Sunny,Hot,High,Strong,No
0370,Sunny,Hot,High,Strong,No
0371,Rain,Cool,Normal,Strong,No
0372,Overcast,Hot,High,Weak,Yes
0373,Overcast,Hot,Normal,Weak,Yes
0374,Sunny,Cool,Normal,Weak,Yes
0375,Rain,Mild,High,Weak,Yes
0376,Sunny,Hot,High,Weak,No
0377,Rain,Mild,High,Weak,Yes
0378,Sunny,Hot,High,Weak,No
0379,Rain,Mild,High,Strong,No
0380,Rain,Cool,Normal,Weak,Yes
0381,Rain,Mild,High,Weak,Yes
0382,Sunny,Mild,High,Weak,No
0383,Sunny,Mild,High,Weak,No
0384,Overcast,Cool,Normal,Strong,Yes
0385,Overcast,Hot,High,Weak,Yes
0386,Sunny,Hot,High,Weak,No
0387,Sunny,Hot,High,Weak,No
0388,Overcast,Mild,High,Strong,Yes
0389,Sunny,Mild,Normal,Strong,Yes
0390,Overcast,Hot,High,Weak,Yes
0391,Rain,Cool,Normal,Strong,No
0392,Overcast,Cool,Normal,Strong,Yes
0393,Rain,Cool,Normal,Strong,No
0394,Rain,Mild,High,Strong,No
0395,Rain,Mild,High,Strong,No
0396,Rain,Cool,Normal,Strong,No
0397,Rain,Cool,Normal,Strong,No
0398,Overcast,Hot,Normal,Weak,Yes
0399,Overcast,Hot,High,Weak,Yes
0400,Rain,Cool,Normal,Strong,No
0401,Sunny,Mild,High,Weak,No
0402,Sunny,Mild,Normal,Strong,Yes
0403,Sunny,Mild,Normal,Strong,Yes
0404,Sunny,Hot,High,Strong,No
0405,Rain,Cool,Normal,Weak,Yes
0406,Rain,Mild,High,Strong,No
0407,Sunny,Hot,High,Weak,No
0408,Overcast,Mild,High,Strong,Yes
0409,Sunny,Hot,High,Weak,No
0410,Rain,Cool,Normal,Weak,Yes
0411,Overcast,Mild,High,Strong,Yes
0412,Overcast,Hot,Normal,Weak,Yes
0413,Overcast,Hot,High,Weak,Yes
0414,Rain,Mild,High,Weak,Yes
0415,Overcast,Hot,High,Weak,Yes
0416,Sunny,Hot,High,Weak,No
0417,Sunny,Hot,High,Weak,No
0418,Overcast,Mild,High,Strong,Yes
0419,Overcast,Mild,High,Strong,Yes
0420,Rain,Mild,High,Strong,No
0421,Overcast,Hot,Normal,Weak,Yes
0422,Rain,Mild,High,Strong,No
0423,Rain,Cool,Normal,Weak,Yes
0424,Rain,Cool,Normal,Strong,No
0425,Overcast,Hot,High,Weak,Yes
0426,Overcast,Mild,High,Strong,Yes
0427,Sunny,Cool,Normal,Weak,Yes
0428,Rain,Cool,Normal,Weak,Yes
0429,Sunny,Mild,High,Weak,No
0430,Overcast,Hot,Normal,Weak,Yes
0431,Sunny,Hot,High,Weak,No
0432,Rain,Mild,High,Strong,No
0433,Rain,Cool,Normal,Weak,Yes
0434,Overcast,Hot,High,Weak,Yes
0435,Overcast,Mild,High,Strong,Yes
0436,Sunny,Hot,High,Weak,No
0437,Rain,Mild,High,Weak,Yes
0438,Overcast,Hot,Normal,Weak,Yes
0439,Rain,Cool,Normal,Weak,Yes
0440,Overcast,Cool,Normal,Strong,Yes
0441,Sunny,Hot,High,Weak,No
0442,Overcast,Hot,High,Weak,Yes
0443,Sunny,Hot,High,Strong,No
0444,Sunny,Cool,Normal,Weak,Yes
0445,Rain,Mild,Normal,Weak,Yes
0446,Rain,Cool,Normal,Strong,No
0447,Rain,Mild,Normal,Weak,Yes
0448,Overcast,Hot,High,Weak,Yes
0449,Sunny,Mild,High,Weak,No
0450,Rain,Mild,High,Strong,No
0451,Sunny,Mild,High,Weak,No
0452,Sunny,Hot,High,Strong,No
0453,Rain,Cool,Normal,Strong,No
0454,Overcast,Cool,Normal,Strong,Yes
0455,Sunny,Hot,High,Strong,No
0456,Sunny,Mild,Normal,Strong,Yes
0457,Rain,Mild,Normal,Weak,Yes
0458,Sunny,Hot,High,Strong,No
0459,Rain,Mild,Normal,Weak,Yes
0460,Sunny,Hot,High,Weak,No
0461,Sunny,Mild,High,Weak,No
0462,Sunny,Hot,High,Weak,No
0463,Sunny,Cool,Normal,Weak,Yes
0464,Sunny,Mild,Normal,Strong,Yes
0465,Rain,Cool,Normal,Strong,No
0466,Overcast,Cool,Normal,Strong,Yes
0467,Overcast,Hot,Normal,Weak,Yes
0468,Rain,Mild,Normal,Weak,Yes
0469,Overcast,Cool,Normal,Strong,Yes
0470,Rain,Mild,Normal,Weak,Yes
0471,Overcast,Hot,High,Weak,Yes
0472,Sunny,Hot,High,Strong,No
0473,Sunny,Cool,Normal,Weak,Yes
0474,Sunny,Mild,High,Weak,No
0475,Overcast,Hot,Normal,Weak,Yes
0476,Overcast,Mild,High,Strong,Yes
0477,Rain,Mild,Normal,Weak,Yes
0478,Overcast,Cool,Normal,Strong,Yes
0479,Sunny,Cool,Normal,Weak,Yes
0480,Rain,Mild,High,Weak,Yes
0481,Overcast,Hot,Normal,Weak,Yes
0482,Rain,Mild,High,Weak,Yes
0483,Sunny,Hot,High,Weak,No
0484,Sunny,Mild,High,Weak,No
0485,Rain,Mild,High,Strong,No
0486,Rain,Mild,High,Strong,No
0487,Overcast,Mild,High,Strong,Yes
0488,Overcast,Hot,High,Weak,Yes
0489,Overcast,Cool,Normal,Strong,Yes
0490,Overcast,Mild,High,Strong,Yes
0491,Sunny,Hot,High,Strong,No
0492,Sunny,Hot,High,Strong,No
0493,Overcast,Cool,Normal,Strong,Yes
0494,Rain,Cool,Normal,Strong,No
0495,Overcast,Hot,High,Weak,Yes
0496,Sunny,Cool,Normal,Weak,Yes
0497,Rain,Mild,Normal,Weak,Yes
0498,Rain,Mild,High,Strong,No
0499,Overcast,Hot,Normal,Weak,Yes
0500,Rain,Cool,Normal,Strong,No
0501,Rain,Mild,Normal,Weak,Yes
0502,Rain,Mild,Normal,Weak,Yes
0503,Rain,Cool,Normal,Strong,No
0504,Sunny,Hot,High,Weak,No
0505,Rain,Mild,High,Weak,Yes
0506,Rain,Mild,Normal,Weak,Yes
0507,Rain,Cool,Normal,Strong,No
0508,Rain,Cool,Normal,Strong,No
0509,Sunny,Mild,Normal,Strong,Yes
0510,Overcast,Mild,High,Strong,Yes
0511,Rain,Cool,Normal,Weak,Yes
0512,Sunny,Hot,High,Weak,No
0513,Sunny,Mild,High,Weak,No
0514,Rain,Cool,Normal,Weak,Yes
0515,Overcast,Mild,High,Strong,Yes
0516,Overcast,Mild,High,Strong,Yes
0517,Overcast,Mild,High,Strong,Yes
0518,Rain,Cool,Normal,Weak,Yes
0519,Overcast,Cool,Normal,Strong,Yes
0520,Rain,Mild,High,Weak,Yes
0521,Rain,Cool,Normal,Strong,No
0522,Overcast,Hot,Normal,Weak,Yes
0523,Rain,Mild,High,Weak,Yes
0524,Rain,Mild,High,Strong,No
0525,Overcast,Hot,High,Weak,Yes
0526,Overcast,Cool,Normal,Strong,Yes
0527,Sunny,Mild,High,Weak,No
0528,Rain,Mild,High,Weak,Yes
0529,Overcast,Hot,Normal,Weak,Yes
0530,Sunny,Hot,High,Strong,No
0531,Overcast,Mild,High,Strong,Yes
0532,Rain,Mild,Normal,Weak,Yes
0533,Rain,Mild,High,Strong,No
0534,Overcast,Hot,High,Weak,Yes
0535,Sunny,Hot,High,Weak,No
0536,Sunny,Mild,High,Weak,No
0537,Overcast,Hot,High,Weak,Yes
0538,Overcast,Mild,High,Strong,Yes
0539,Rain,Mild,Normal,Weak,Yes
0540,Overcast,Cool,Normal,Strong,Yes
0541,Rain,Mild,Normal,Weak,Yes
0542,Rain,Cool,Normal,Weak,Yes
0543,Rain,Mild,Normal,Weak,Yes
0544,Rain,Cool,Normal,Weak,Yes
0545,Rain,Mild,High,Strong,No
0546,Overcast,Cool,Normal,Strong,Yes
0547,Sunny,Cool,Normal,Weak,Yes
0548,Overcast,Mild,High,Strong,Yes
0549,Rain,Cool,Normal,Weak,Yes
0550,Sunny,Hot,High,Weak,No
0551,Rain,Mild,Normal,Weak,Yes
0552,Rain,Mild,Normal,Weak,Yes
0553,Sunny,Hot,High,Weak,No
0554,Sunny,Hot,High,Strong,No
0555,Rain,Mild,High,Strong,No
0556,Rain,Cool,Normal,Strong,No
0557,Sunny,Cool,Normal,Weak,Yes
0558,Sunny,Mild,High,Weak,No
0559,Overcast,Hot,Normal,Weak,Yes
0560,Rain,Cool,Normal,Weak,Yes
0561,Sunny,Hot,High,Weak,No
0562,Overcast,Hot,Normal,Weak,Yes
0563,Overcast,Cool,Normal,Strong,Yes
0564,Rain,Cool,Normal,Weak,Yes
0565,Rain,Cool,Normal,Strong,No
0566,Overcast,Hot,Normal,Weak,Yes
0567,Overcast,Cool,Normal,Strong,Yes
0568,Overcast,Hot,High,Weak,Yes
0569,Overcast,Mild,High,Strong,Yes
0570,Rain,Mild,Normal,Weak,Yes
0571,Overcast,Hot,High,Weak,Yes
0572,Rain,Cool,Normal,Weak,Yes
0573,Rain,Cool,Normal,Strong,No
0574,Sunny,Cool,Normal,Weak,Yes
0575,Overcast,Hot,Normal,Weak,Yes
0576,Rain,Mild,High,Strong,No
0577,Overcast,Mild,High,Strong,Yes
0578,Rain,Cool,Normal,Weak,Yes
0579,Sunny,Hot,High,Weak,No
0580,Rain,Mild,High,Strong,No
0581,Rain,Mild,High,Strong,No
0582,Rain,Mild,High,Strong,No
0583,Rain,Mild,High,Weak,Yes
0584,Rain,Cool,Normal,Weak,Yes
0585,Overcast,Mild,High,Strong,Yes
0586,Rain,Mild,Normal,Weak,Yes
0587,Rain,Mild,Normal,Weak,Yes
0588,Rain,Cool,Normal,Weak,Yes
0589,Overcast,Cool,Normal,Strong,Yes
0590,Rain,Mild,High,Weak,Yes
0591,Sunny,Hot,High,Weak,No
0592,Rain,Mild,High,Strong,No
0593,Rain,Mild,High,Strong,No
0594,Rain,Cool,Normal,Weak,Yes
0595,Overcast,Cool,Normal,Strong,Yes
0596,Rain,Mild,Normal,Weak,Yes
0597,Rain,Mild,Normal,Weak,Yes
0598,Rain,Cool,Normal,Strong,No
0599,Rain,Cool,Normal,Weak,Yes
0600,Rain,Mild,High,Weak,Yes
0601,Sunny,Hot,High,Strong,No
0602,Rain,Mild,High,Weak,Yes
0603,Rain,Mild,Normal,Weak,Yes
0604,Rain,Mild,Normal,Weak,Yes
0605,Overcast,Hot,High,Weak,Yes
0606,Rain,Mild,Normal,Weak,Yes
0607,Sunny,Hot,High,Weak,No
0608,Sunny,Mild,High,Weak,No
0609,Rain,Cool,Normal,Weak,Yes
0610,Overcast,Hot,Normal,Weak,Yes
0611,Rain,Mild,High,Weak,Yes
0612,Sunny,Mild,High,Weak,No
0613,Overcast,Cool,Normal,Strong,Yes
0614,Sunny,Hot,High,Strong,No
0615,Sunny,Hot,High,Weak,No
0616,Overcast,Mild,High,Strong,Yes
0617,Sunny,Mild,Normal,Strong,Yes
0618,Rain,Mild,High,Weak,Yes
0619,Sunny,Mild,High,Weak,No
0620,Overcast,Mild,High,Strong,Yes
0621,Sunny,Hot,High,Strong,No
0622,Overcast,Hot,High,Weak,Yes
0623,Overcast,Mild,High,Strong,Yes
0624,Sunny,Hot,High,Weak,No
0625,Sunny,Hot,High,Weak,No
0626,Overcast,Hot,Normal,Weak,Yes
0627,Overcast,Hot,High,Weak,Yes
0628,Sunny,Mild,Normal,Strong,Yes
0629,Rain,Cool,Normal,Weak,Yes
0630,Overcast,Mild,High,Strong,Yes
0631,Overcast,Hot,High,Weak,Yes
0632,Sunny,Hot,High,Weak,No
0633,Sunny,Hot,High,Weak,No
0634,Sunny,Mild,High,Weak,No
0635,Rain,Mild,Normal,Weak,Yes
0636,Sunny,Mild,Normal,Strong,Yes
0637,Overcast,Mild,High,Strong,Yes
0638,Overcast,Hot,Normal,Weak,Yes
